,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_000033,220,90,161,229,190,91,295,141,226,104,166,143
NM_000052,26,25,11,2,5,9,4,5,16,6,12,20
NM_000074,0,0,1,1,0,2,1,0,2,1,0,0
NM_000117,1400,1228,1329,1589,1474,581,1897,1432,1851,719,1216,1521
NM_000132,10,5,9,4,11,11,21,8,26,13,1,3
NM_000169,607,528,818,429,445,373,437,524,592,344,684,416
NM_000194,2242,3578,2842,2115,2534,1010,2878,3164,4121,2044,2433,2910
NM_000206,9575,8671,9158,6496,5626,4389,7058,6047,8730,4545,7704,7969
NM_000216,12,3,4,4,10,0,1,10,12,21,2,0
NM_000252,299,177,280,107,187,150,236,260,156,178,159,136
NM_000291,59341,73241,52201,30801,23428,22913,31708,48576,36485,39564,39199,60636
NM_000292,840,835,1073,434,506,404,894,550,849,499,639,729
NM_000328,47,113,65,52,92,29,129,71,110,67,110,66
NM_000330,0,0,1,1,1,1,0,0,1,0,2,5
NM_000351,933,1727,1871,453,703,688,1957,725,582,1173,915,1527
NM_000377,3053,2385,3844,2100,2299,1498,3137,1610,2688,1812,2323,2283
NM_000390,621,696,657,325,410,295,619,555,704,446,512,826
NM_000397,3712,3444,4868,1423,3186,1847,4019,2607,3732,2452,2607,2431
NM_000402,0,0,0,0,0,0,3,2,0,0,1,1
NM_000686,6,6,10,0,3,1,0,1,1,2,53,1
NM_001000,5981,6159,8707,5440,5279,4061,4073,6360,7238,4737,5578,6366
NM_001001671,11,14,18,8,8,4,9,9,5,7,13,12
NM_001001995,30,33,17,14,29,8,71,19,48,21,15,17
NM_001005332,4,3,2,1,2,2,0,2,5,1,0,0
NM_001005333,1,1,1,1,0,0,0,0,1,0,1,0
NM_001007,41571,39993,95827,57942,28347,30480,53694,38217,40232,42640,37465,60332
NM_001008537,331,113,259,34,89,223,149,137,166,90,67,74
NM_001009932,15,13,8,8,6,7,9,9,11,7,19,5
NM_001010862,281,365,322,211,222,113,430,203,503,182,295,190
NM_001010888,30,48,29,21,27,10,34,27,57,22,25,34
NM_001012755,227,158,257,92,185,56,368,168,348,159,124,115
NM_001012968,485,618,588,307,413,234,672,402,502,356,424,536
NM_001013627,11,1,5,0,9,2,2,4,8,13,3,15
NM_001013845,635,575,654,490,495,164,535,490,862,341,317,547
NM_001015881,1,1,2,2,2,3,4,2,4,2,6,4
NM_001017980,1262,1985,1604,1244,1678,706,2228,1486,2095,1124,1263,1320
NM_001018024,297,358,476,232,351,188,346,418,455,238,284,357
NM_001018025,23,28,31,11,15,31,37,18,50,12,49,26
NM_001018113,0,2,2,0,1,1,1,0,2,0,0,0
NM_001024455,55,9,51,8,27,3,30,23,39,33,20,34
NM_001024666,0,4,2,0,1,0,4,2,1,1,1,0
NM_001025265,0,1,1,2,0,0,3,0,1,0,0,0
NM_001029891,5095,5157,4656,2032,2093,2630,2544,3360,4286,2355,3463,5234
NM_001029896,2,0,1,1,1,0,3,3,5,0,5,5
NM_001031834,0,1,1,2,2,2,3,2,4,0,3,1
NM_001032726,3,4,6,2,2,2,6,3,4,2,5,0
NM_001034853,6,2,2,1,4,4,11,3,9,1,5,2
NM_001037540,6,9,10,4,4,0,12,2,18,3,0,4
NM_001039840,2,2,2,0,0,0,0,0,0,0,1,0
NM_001042749,31,26,11,7,10,13,18,12,15,15,15,17
NM_001078171,613,393,472,439,600,207,534,370,696,300,421,462
NM_001078172,17,24,18,37,35,9,46,27,44,13,30,41
NM_001078173,3,9,0,11,8,2,1,6,20,3,2,33
NM_001079872,71,50,50,14,26,26,67,16,43,33,29,42
NM_001080485,1388,1751,1858,741,991,642,1306,1177,1021,752,1368,1432
NM_001081550,3126,3944,2088,1226,2337,1162,3426,2542,2903,1992,2514,2507
NM_001105576,59,56,120,81,21,39,30,55,27,40,65,101
NM_001110556,1,2,1,1,0,2,4,0,8,0,2,1
NM_001113490,78,32,42,0,4,18,25,27,3,2,22,39
NM_001127197,1,0,0,2,5,0,5,2,6,0,0,8
NM_001130846,2,2,1,2,1,1,0,0,2,0,1,2
NM_001136159,61,33,61,21,29,21,29,34,24,25,44,26
NM_001136273,12,17,16,7,19,2,28,23,11,19,21,16
NM_001137554,3,1,5,0,0,1,1,4,3,2,4,1
NM_001139457,9,1,9,15,17,2,19,18,26,3,26,9
NM_001142386,2619,3365,1765,1471,1743,814,2618,1976,2975,1618,1418,2718
NM_001142797,18,13,13,3,6,14,3,0,3,1,21,7
NM_001143978,9,7,13,2,5,5,11,1,9,12,6,6
NM_001144002,1,1,1,1,0,1,3,0,0,0,0,2
NM_001145073,87,83,70,22,45,31,86,51,51,43,61,60
NM_001145408,1,0,1,2,1,1,0,0,1,5,1,0
NM_001145414,33,29,44,22,48,20,40,33,28,15,37,30
NM_001145951,10,21,19,10,10,7,19,11,21,8,8,22
NM_001152,11617,13415,17620,8034,8260,5366,9420,9083,11841,7196,9832,10652
NM_001159702,1,7,0,1,0,0,0,0,3,0,1,0
NM_001163280,0,0,2,0,7,0,4,5,2,0,0,9
NM_001163438,10,5,24,8,5,13,6,9,1,24,23,26
NM_001164741,9,9,8,5,2,3,13,4,6,1,10,3
NM_001164803,1104,1653,1327,909,1339,464,1581,1280,1513,954,1100,855
NM_001166278,0,1,2,1,0,0,4,2,4,4,0,3
NM_001166426,34,20,47,8,16,13,49,16,50,15,25,17
NM_001166599,107,108,71,47,63,38,181,39,99,68,71,80
NM_001167947,7,10,10,4,1,4,5,1,2,2,8,7
NM_001168465,1,2,0,0,0,0,3,1,0,1,2,7
NM_001170460,4,7,10,1,3,0,5,1,4,2,5,2
NM_001170704,1,2,1,1,2,3,8,1,4,0,2,4
NM_001170747,2,6,3,10,4,0,5,17,3,6,5,9
NM_001170779,1,2,1,0,0,1,0,1,1,1,2,0
NM_001170780,4,1,4,0,1,1,2,1,4,0,1,1
NM_001170781,46,57,50,38,41,19,21,26,64,36,48,35
NM_001171080,284,512,211,202,342,101,418,279,410,191,298,248
NM_001171135,0,0,0,8,4,1,21,10,5,1,5,5
NM_001171162,10,7,15,1,5,3,7,7,5,2,3,9
NM_001171163,3,2,3,1,1,3,4,1,0,2,3,3
NM_001171909,8,5,19,3,11,6,10,5,22,9,6,5
