,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_000032,0,0,0,0,0,0,0,0,0,0,0,0
NM_000033,220,90,161,229,190,91,295,141,226,104,166,143
NM_000044,1,0,0,0,0,0,0,0,0,0,0,0
NM_000047,0,0,0,0,0,0,0,0,0,0,0,0
NM_000052,26,25,11,2,5,9,4,5,16,6,12,20
NM_000054,0,0,0,0,0,0,0,0,0,0,0,0
NM_000061,0,0,0,0,0,0,0,0,0,0,0,0
NM_000074,0,0,1,1,0,2,1,0,2,1,0,0
NM_000084,0,0,0,0,0,0,0,0,2,0,0,0
NM_000109,0,0,0,0,0,0,0,0,0,0,0,0
NM_000116,0,0,0,0,0,0,0,0,0,0,0,0
NM_000117,1400,1228,1329,1589,1474,581,1897,1432,1851,719,1216,1521
NM_000132,10,5,9,4,11,11,21,8,26,13,1,3
NM_000133,0,0,0,0,0,0,0,0,0,0,0,0
NM_000166,0,0,0,0,0,0,0,0,0,0,0,0
NM_000167,0,0,0,0,0,0,0,0,0,0,0,0
NM_000169,607,528,818,429,445,373,437,524,592,344,684,416
NM_000194,2242,3578,2842,2115,2534,1010,2878,3164,4121,2044,2433,2910
NM_000202,0,0,0,0,0,0,0,0,0,0,0,0
NM_000206,9575,8671,9158,6496,5626,4389,7058,6047,8730,4545,7704,7969
NM_000216,12,3,4,4,10,0,1,10,12,21,2,0
NM_000240,0,0,0,0,0,0,0,0,0,0,0,0
NM_000252,299,177,280,107,187,150,236,260,156,178,159,136
NM_000266,0,0,0,0,0,0,0,0,0,0,0,0
NM_000273,2,0,0,0,0,0,1,1,0,1,0,0
NM_000276,1,1,0,0,0,0,1,0,0,0,1,1
NM_000284,0,0,0,0,0,0,0,0,0,0,0,0
NM_000291,59341,73241,52201,30801,23428,22913,31708,48576,36485,39564,39199,60636
NM_000292,840,835,1073,434,506,404,894,550,849,499,639,729
NM_000307,0,0,0,0,0,0,0,0,1,0,0,0
NM_000328,47,113,65,52,92,29,129,71,110,67,110,66
NM_000330,0,0,1,1,1,1,0,0,1,0,2,5
NM_000351,933,1727,1871,453,703,688,1957,725,582,1173,915,1527
NM_000354,0,0,0,0,0,0,0,0,0,0,0,0
NM_000377,3053,2385,3844,2100,2299,1498,3137,1610,2688,1812,2323,2283
NM_000381,0,0,0,0,0,0,0,0,0,0,0,0
NM_000390,621,696,657,325,410,295,619,555,704,446,512,826
NM_000397,3712,3444,4868,1423,3186,1847,4019,2607,3732,2452,2607,2431
NM_000402,0,0,0,0,0,0,3,2,0,0,1,1
NM_000425,0,0,0,0,0,0,0,0,0,0,0,0
NM_000444,0,0,0,0,0,0,0,0,0,0,0,0
NM_000451,0,0,0,0,0,0,0,0,0,0,0,0
NM_000475,0,1,0,0,1,0,0,1,0,0,0,0
NM_000489,1,0,0,1,0,0,1,0,0,1,0,0
NM_000495,0,0,0,0,0,0,0,0,0,0,0,0
NM_000513,0,0,0,0,0,0,0,0,0,0,0,0
NM_000531,0,0,1,0,0,0,0,0,0,0,0,0
NM_000533,0,0,0,0,0,0,0,0,0,0,0,0
NM_000555,0,0,0,0,0,0,0,0,0,0,0,0
NM_000640,0,0,0,0,0,0,0,0,0,0,0,0
NM_000686,6,6,10,0,3,1,0,1,1,2,53,1
NM_000808,0,0,0,0,0,0,0,0,0,0,0,0
NM_000828,0,0,0,0,0,0,0,0,0,0,0,0
NM_000868,0,0,0,0,0,0,0,0,0,0,0,0
NM_000898,0,0,1,0,0,0,0,0,0,0,0,0
NM_000950,0,0,0,0,0,0,0,0,0,0,0,0
NM_001000,5981,6159,8707,5440,5279,4061,4073,6360,7238,4737,5578,6366
NM_001001344,0,0,0,0,0,0,0,0,0,0,0,0
NM_001001671,11,14,18,8,8,4,9,9,5,7,13,12
NM_001001888,0,0,0,1,0,0,1,0,0,0,0,0
NM_001001994,1,0,0,0,1,0,0,0,0,0,0,0
NM_001001995,30,33,17,14,29,8,71,19,48,21,15,17
NM_001001996,0,0,0,0,0,0,0,0,0,0,0,0
NM_001002254,1,0,0,0,0,0,0,0,0,0,0,0
NM_001002838,0,0,0,0,0,0,0,0,0,0,0,0
NM_001002916,0,1,0,0,2,0,0,0,0,0,0,0
NM_001003811,0,0,0,0,0,0,0,0,0,0,0,0
NM_001004051,0,0,0,0,0,0,0,0,0,0,0,0
NM_001004308,0,0,0,0,1,0,0,0,0,0,0,1
NM_001004486,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005332,4,3,2,1,2,2,0,2,5,1,0,0
NM_001005333,1,1,1,1,0,0,0,0,1,0,1,0
