Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AADAT	ENSG00000109576.13	1.830	11.500	-2.143	8.81e-52
AASS	ENSG00000008311.14	3.240	11.160	-1.520	9.03e-20
AATF	ENSG00000275700.4	29.171	10.640	1.374	3.60e-73
ABCA8	ENSG00000141338.13	3.330	13.070	-1.700	4.52e-35
ABCA9	ENSG00000154258.16	0.630	3.270	-1.389	1.21e-33
ABCB6	ENSG00000115657.12	39.371	18.615	1.041	8.28e-19
ABCC6P2	ENSG00000255277.3	8.950	3.735	1.071	3.34e-29
ABCC9	ENSG00000069431.10	2.250	6.825	-1.268	3.07e-26
ABHD12	ENSG00000100997.18	35.671	12.070	1.488	3.60e-75
ABLIM3	ENSG00000173210.19	12.690	37.135	-1.478	3.05e-29
AC004538.3	ENSG00000230333.6	0.140	2.040	-1.415	9.74e-43
AC004540.4	ENSG00000225792.1	0.170	1.654	-1.182	1.94e-25
AC005077.14	ENSG00000230882.1	0.520	6.740	-2.348	2.36e-51
AC005255.3	ENSG00000256210.3	3.450	0.000	2.154	6.77e-37
AC005943.2	ENSG00000267059.2	1.380	0.000	1.251	8.76e-11
AC005943.6	ENSG00000279009.1	2.240	0.000	1.696	5.01e-3
AC006128.2	ENSG00000279716.1	1.150	7.035	-1.902	1.11e-20
AC007318.5	ENSG00000172974.11	4.630	1.580	1.126	1.13e-24
AC009065.4	ENSG00000279473.1	1.340	0.000	1.227	9.02e-31
AC009120.6	ENSG00000259972.2	1.990	5.625	-1.148	4.51e-7
AC009963.3	ENSG00000233494.1	12.750	43.499	-1.694	7.81e-18
AC012146.7	ENSG00000234327.7	5.990	2.170	1.141	8.25e-30
AC016292.3	ENSG00000108958.4	2.150	0.485	1.085	2.75e-23
AC016739.2	ENSG00000218175.2	12.830	4.745	1.267	4.16e-35
AC016747.3	ENSG00000212978.6	4.320	1.610	1.027	9.53e-37
AC068535.3	ENSG00000225765.1	1.620	9.540	-2.008	3.12e-22
AC092171.4	ENSG00000230733.2	2.230	0.560	1.050	2.10e-36
AC093673.5	ENSG00000232533.1	5.260	2.085	1.021	1.12e-24
AC099668.5	ENSG00000259970.1	2.330	10.819	-1.828	3.09e-21
AC104534.3	ENSG00000268083.5	5.810	0.420	2.262	6.03e-12
AC104809.2	ENSG00000223991.1	0.040	3.375	-2.073	1.11e-34
AC132217.4	ENSG00000240801.1	21.110	365.062	-4.049	3.36e-12
AC138035.2	ENSG00000238035.8	0.600	3.465	-1.481	7.14e-22
AC239868.2	ENSG00000280874.1	22.920	4.910	2.017	4.33e-23
AC239868.3	ENSG00000281134.1	22.920	4.910	2.017	4.33e-23
ACACB	ENSG00000076555.15	8.470	23.610	-1.378	2.85e-25
ACAD11	ENSG00000240303.7	12.740	40.844	-1.607	7.07e-44
ACADL	ENSG00000115361.7	2.900	8.555	-1.293	3.27e-23
ACADS	ENSG00000122971.8	39.170	97.480	-1.294	1.55e-37
ACADVL	ENSG00000072778.19	359.313	861.913	-1.260	2.35e-22
ACAP3	ENSG00000131584.18	7.860	17.300	-1.046	7.95e-4
ACBD6	ENSG00000230124.6	24.710	9.845	1.245	2.08e-59
ACCS	ENSG00000110455.13	6.220	14.189	-1.073	6.11e-12
ACLY	ENSG00000131473.16	20.910	8.174	1.256	5.83e-28
ACOT12	ENSG00000172497.8	13.960	29.518	-1.029	2.17e-12
ACP5	ENSG00000102575.10	22.770	9.840	1.133	2.02e-8
ACP6	ENSG00000162836.11	18.600	8.690	1.016	6.14e-32
ACSL1	ENSG00000151726.13	129.984	406.580	-1.638	4.55e-31
ACSL4	ENSG00000068366.19	33.020	2.355	3.342	4.63e-30
ACSM1	ENSG00000166743.9	8.560	1.085	2.197	2.43e-16
ACSM3	ENSG00000005187.11	18.450	58.215	-1.606	1.69e-24
ACSM5	ENSG00000183549.10	28.829	79.263	-1.428	1.12e-22
ACTN4	ENSG00000130402.11	102.749	47.200	1.106	1.82e-31
ADAM15	ENSG00000143537.13	42.241	16.735	1.286	1.78e-44
ADAMTS1	ENSG00000154734.14	3.150	7.810	-1.086	8.91e-16
ADAMTS13	ENSG00000160323.18	2.320	14.475	-2.221	1.49e-97
ADAMTS2	ENSG00000087116.13	1.370	4.445	-1.200	2.95e-16
ADAMTSL2	ENSG00000197859.9	3.150	11.359	-1.574	3.48e-25
ADAT2	ENSG00000189007.15	1.230	3.685	-1.071	1.97e-11
ADCK2	ENSG00000133597.9	14.490	5.585	1.234	6.84e-62
ADCY1	ENSG00000164742.14	0.400	4.115	-1.869	5.43e-29
ADGRA3	ENSG00000152990.13	8.900	21.525	-1.186	8.54e-24
ADGRG7	ENSG00000144820.7	0.720	4.425	-1.657	4.94e-46
ADH1B	ENSG00000196616.12	360.135	884.396	-1.294	5.15e-11
ADH4	ENSG00000198099.8	154.032	549.147	-1.827	2.35e-13
ADIPOR1	ENSG00000159346.12	66.791	32.800	1.004	1.88e-43
ADM2	ENSG00000128165.8	2.800	0.750	1.119	3.37e-20
ADRA1A	ENSG00000120907.17	0.750	16.380	-3.312	2.62e-82
ADRA1B	ENSG00000170214.3	1.210	3.855	-1.135	8.39e-31
ADRA2B	ENSG00000274286.1	0.410	1.885	-1.033	4.15e-50
ADSL	ENSG00000239900.11	31.910	14.580	1.079	1.69e-44
AF064858.6	ENSG00000205622.9	0.810	3.285	-1.243	3.50e-13
AFG3L1P	ENSG00000223959.8	3.200	8.220	-1.134	2.33e-10
AFM	ENSG00000079557.4	50.380	143.334	-1.490	1.15e-19
AFP	ENSG00000081051.7	11.460	4.685	1.132	2.19e-11
AGAP4	ENSG00000188234.13	2.280	5.630	-1.015	5.30e-8
AGAP5	ENSG00000172650.12	1.110	3.235	-1.005	3.29e-11
AGAP6	ENSG00000204149.9	3.380	12.338	-1.607	1.98e-13
AGAP9	ENSG00000204172.11	2.160	10.750	-1.895	3.89e-19
AGBL5	ENSG00000084693.15	8.210	3.445	1.051	2.57e-39
AGER	ENSG00000204305.13	1.410	4.070	-1.073	5.63e-10
AGPAT1	ENSG00000204310.10	46.821	21.794	1.069	7.90e-49
AGXT2	ENSG00000113492.13	13.630	35.030	-1.300	1.27e-23
AIDA	ENSG00000186063.12	24.519	10.875	1.104	1.27e-46
AIM1L	ENSG00000176092.13	1.810	0.170	1.264	1.32e-33
AIMP2	ENSG00000106305.9	27.651	13.260	1.007	1.33e-32
AKAP17A	ENSG00000197976.10	10.160	25.474	-1.246	3.02e-9
AKIP1	ENSG00000166452.11	12.780	5.335	1.121	7.69e-50
AKR1B10	ENSG00000198074.9	177.158	3.015	5.472	9.84e-30
AKR1C1	ENSG00000187134.12	481.068	212.636	1.174	9.13e-8
AKR1C2	ENSG00000151632.16	299.123	125.148	1.250	8.98e-5
AKR1C3	ENSG00000196139.11	351.236	89.588	1.959	3.03e-46
AKR1C8P	ENSG00000264006.6	0.260	1.740	-1.121	2.75e-20
AKR1D1	ENSG00000122787.14	10.960	40.685	-1.801	1.01e-11
AKR7L	ENSG00000211454.13	4.430	14.072	-1.473	1.15e-28
AL158801.1	ENSG00000279392.1	2.190	0.275	1.323	4.13e-33
AL161668.5	ENSG00000258604.1	1.630	5.785	-1.367	3.53e-22
ALDH1A1	ENSG00000165092.12	458.284	217.994	1.068	2.39e-10
ALDH3A1	ENSG00000108602.17	2.170	0.460	1.119	7.82e-12
ALDH8A1	ENSG00000118514.13	27.029	64.679	-1.229	3.10e-22
ALDOA	ENSG00000149925.16	289.595	130.929	1.139	1.02e-26
ALG1	ENSG00000033011.11	19.830	8.770	1.092	3.96e-57
ALG1L	ENSG00000189366.9	7.270	0.325	2.642	9.46e-43
ALG3	ENSG00000214160.9	57.289	26.005	1.110	3.84e-51
ALG8	ENSG00000159063.12	45.711	19.841	1.164	3.48e-66
ALKBH2	ENSG00000189046.10	25.259	11.915	1.024	4.09e-37
ALMS1	ENSG00000116127.17	5.000	1.790	1.105	1.28e-57
ALOX12P2	ENSG00000262943.7	1.390	6.128	-1.577	2.52e-25
ALPL	ENSG00000162551.13	10.670	40.580	-1.833	1.71e-26
ALYREF	ENSG00000183684.7	37.749	13.900	1.379	1.14e-52
AMDHD1	ENSG00000139344.7	23.480	51.479	-1.100	6.39e-15
AMN	ENSG00000166126.10	9.840	21.844	-1.075	1.73e-6
ANAPC11	ENSG00000141552.17	192.350	76.061	1.327	1.35e-65
ANGPTL6	ENSG00000130812.10	1.670	11.600	-2.238	1.35e-96
ANK3	ENSG00000151150.20	1.010	3.435	-1.142	6.39e-15
ANKRD29	ENSG00000154065.16	3.480	0.610	1.476	6.70e-29
ANKRD39	ENSG00000213337.8	14.360	6.270	1.079	4.26e-64
ANLN	ENSG00000011426.10	2.260	0.175	1.472	2.75e-40
ANO10	ENSG00000160746.12	10.950	4.330	1.165	1.20e-42
ANXA10	ENSG00000109511.10	10.590	34.340	-1.608	2.59e-18
ANXA11	ENSG00000122359.17	86.990	38.454	1.157	3.81e-43
ANXA13	ENSG00000104537.16	7.520	2.450	1.304	2.16e-8
ANXA2	ENSG00000182718.16	254.866	63.065	1.998	1.96e-44
ANXA2P2	ENSG00000231991.4	4.420	0.755	1.627	1.14e-37
AP000349.2	ENSG00000280178.1	1.280	0.030	1.146	1.78e-25
